country,scenario,month,predicted_norm_volume
Indonesia,no_classified_as_DFA,11,0.0058269515
Indonesia,no_classified_as_DFA,12,0.005900993
Indonesia,no_exchange_license_required,1,0.0056640874
Indonesia,no_exchange_license_required,2,0.0057531195
Indonesia,no_exchange_license_required,3,0.0057765325
Indonesia,no_exchange_license_required,4,0.0057674535
Indonesia,no_exchange_license_required,5,0.0059876186
Indonesia,no_exchange_license_required,6,0.0058412785
Indonesia,no_exchange_license_required,7,0.005590692
Indonesia,no_exchange_license_required,8,0.005546386
Indonesia,no_exchange_license_required,9,0.005590692
Indonesia,no_exchange_license_required,10,0.005744966
Indonesia,no_exchange_license_required,11,0.0055518956
Indonesia,no_exchange_license_required,12,0.0055518956
Indonesia,no_license_intensity,1,0.0053006858
Indonesia,no_license_intensity,2,0.005572916
Indonesia,no_license_intensity,3,0.0056868205
Indonesia,no_license_intensity,4,0.005698259
Indonesia,no_license_intensity,5,0.0054699434
Indonesia,no_license_intensity,6,0.0054236446
Indonesia,no_license_intensity,7,0.0055373744
Indonesia,no_license_intensity,8,0.0052431677
Indonesia,no_license_intensity,9,0.0049135596
Indonesia,no_license_intensity,10,0.005324495
Indonesia,no_license_intensity,11,0.005309059
Indonesia,no_license_intensity,12,0.0054796077
Indonesia,no_tax_rate,1,0.005016431
Indonesia,no_tax_rate,2,0.005088193
Indonesia,no_tax_rate,3,0.0051091523
Indonesia,no_tax_rate,4,0.005047575
Indonesia,no_tax_rate,5,0.0050958544
Indonesia,no_tax_rate,6,0.0050580744
Indonesia,no_tax_rate,7,0.005212746
Indonesia,no_tax_rate,8,0.004976306
Indonesia,no_tax_rate,9,0.0050034006
Indonesia,no_tax_rate,10,0.0051173344
Indonesia,no_tax_rate,11,0.005042197
Indonesia,no_tax_rate,12,0.005212746
Indonesia,no_aml_flag,1,0.0056640874
Indonesia,no_aml_flag,2,0.0058073523
Indonesia,no_aml_flag,3,0.0057765325
Indonesia,no_aml_flag,4,0.005985026
Indonesia,no_aml_flag,5,0.0057890383
Indonesia,no_aml_flag,6,0.0058258423
Indonesia,no_aml_flag,7,0.005524801
Indonesia,no_aml_flag,8,0.0055518956
Indonesia,no_aml_flag,9,0.0055518956
Indonesia,no_aml_flag,10,0.0055518956
Indonesia,no_aml_flag,11,0.005590692
Indonesia,no_aml_flag,12,0.005590692
Indonesia,no_aml_severity,1,0.0056640874
Indonesia,no_aml_severity,2,0.005726025
Indonesia,no_aml_severity,3,0.0058424235
Indonesia,no_aml_severity,4,0.0059520556
Indonesia,no_aml_severity,5,0.0058333445
Indonesia,no_aml_severity,6,0.0058258423
Indonesia,no_aml_severity,7,0.005590692
Indonesia,no_aml_severity,8,0.005590692
Indonesia,no_aml_severity,9,0.005546386
Indonesia,no_aml_severity,10,0.0055518956
Indonesia,no_aml_severity,11,0.005590692
Indonesia,no_aml_severity,12,0.005709403
Indonesia,no_regulations,1,0.0047073453
Indonesia,no_regulations,2,0.004582674
Indonesia,no_regulations,3,0.0046386453
Indonesia,no_regulations,4,0.004523357
Indonesia,no_regulations,5,0.0045621535
Indonesia,no_regulations,6,0.0046094945
Indonesia,no_regulations,7,0.0045436034
Indonesia,no_regulations,8,0.0046094945
Indonesia,no_regulations,9,0.004565188
Indonesia,no_regulations,10,0.0046094945
Indonesia,no_regulations,11,0.004570698
Indonesia,no_regulations,12,0.0045983554
Indonesia,max_regulations,1,0.006054723
Indonesia,max_regulations,2,0.00651451
Indonesia,max_regulations,3,0.0064525944
Indonesia,max_regulations,4,0.006541592
Indonesia,max_regulations,5,0.006633724
Indonesia,max_regulations,6,0.0065146694
Indonesia,max_regulations,7,0.0063481657
Indonesia,max_regulations,8,0.00614973
Indonesia,max_regulations,9,0.005897127
Indonesia,max_regulations,10,0.00614973
Indonesia,max_regulations,11,0.006317238
Indonesia,max_regulations,12,0.0063151955
Indonesia,no_tax_no_aml,1,0.005016431
Indonesia,no_tax_no_aml,2,0.0051152874
Indonesia,no_tax_no_aml,3,0.005132532
Indonesia,no_tax_no_aml,4,0.00504937
Indonesia,no_tax_no_aml,5,0.0050764647
Indonesia,no_tax_no_aml,6,0.0052658687
Indonesia,no_tax_no_aml,7,0.005021271
Indonesia,no_tax_no_aml,8,0.005065577
Indonesia,no_tax_no_aml,9,0.005236126
Indonesia,no_tax_no_aml,10,0.005065577
Indonesia,no_tax_no_aml,11,0.005184288
Indonesia,no_tax_no_aml,12,0.005065577
Indonesia,no_license_no_ban,1,0.0053006858
Indonesia,no_license_no_ban,2,0.005636313
Indonesia,no_license_no_ban,3,0.0054944586
Indonesia,no_license_no_ban,4,0.0054040523
Indonesia,no_license_no_ban,5,0.0054040523
Indonesia,no_license_no_ban,6,0.005462441
Indonesia,no_license_no_ban,7,0.0054426524
Indonesia,no_license_no_ban,8,0.0054796077
Indonesia,no_license_no_ban,9,0.0052647525
Indonesia,no_license_no_ban,10,0.005309059
Indonesia,no_license_no_ban,11,0.0052431677
Indonesia,no_license_no_ban,12,0.0052702622
Indonesia,Indonesia_with_United_States_policies,1,0.0050581507
Indonesia,Indonesia_with_United_States_policies,2,0.0054514995
Indonesia,Indonesia_with_United_States_policies,3,0.005669096
Indonesia,Indonesia_with_United_States_policies,4,0.0054805917
